!def(SYSLOG_NG_HAVE_STRCASESTR),
!def(SYSLOG_NG_HAVE_MEMRCHR),
def(SYSLOG_NG_HAVE_CLOCK_GETTIME),
def(ENV_LD_LIBRARY_PATH),
!def(_AIX),
def(SYSLOG_NG_HAVE_UTMPX_H),
!def(PCRE_NEWLINE_ANYCRLF),
!def(STATIC),
def(_AIX),
!def(SYSLOG_NG_HAVE_INET_ATON),
!def(_MSC_VER),
def(__linux__),
!def(JSON_C_VERSION),
def(JSON_C_VERSION),
True,
!def(SYSLOG_NG_HAVE_UTMPX_H),
