!def(_MSC_VER),
def(SYSLOG_NG_HAVE_CLOCK_GETTIME),
def(SYSLOG_NG_HAVE_UTMPX_H),
def(JSON_C_VERSION),
!def(PCRE_NEWLINE_ANYCRLF),
!def(SYSLOG_NG_HAVE_UTMPX_H),
!def(SYSLOG_NG_HAVE_STRCASESTR),
True,
!def(_AIX),
def(_AIX),
def(ENV_LD_LIBRARY_PATH),
!def(STATIC),
!def(JSON_C_VERSION),
!def(SYSLOG_NG_HAVE_INET_ATON),
!def(SYSLOG_NG_HAVE_SSL_CTX_GET0_PARAM),
!def(SYSLOG_NG_HAVE_MEMRCHR),
def(__linux__),
