def(SYSLOG_NG_HAVE_UTMPX_H),
!def(_MSC_VER),
def(_AIX),
!def(SYSLOG_NG_HAVE_MEMRCHR),
def(__linux__),
!def(_AIX),
!def(SYSLOG_NG_HAVE_STRCASESTR),
!def(SYSLOG_NG_HAVE_INET_ATON),
!def(SYSLOG_NG_HAVE_UTMPX_H),
!def(STATIC),
def(ENV_LD_LIBRARY_PATH),
def(SYSLOG_NG_HAVE_CLOCK_GETTIME),
def(JSON_C_VERSION),
True,
!def(JSON_C_VERSION),
