!def(SYSLOG_NG_HAVE_INET_ATON),
!def(STATIC),
def(_AIX),
def(JSON_C_VERSION),
!def(JSON_C_VERSION),
def(__linux__),
!def(PCRE_NEWLINE_ANYCRLF),
def(ENV_LD_LIBRARY_PATH),
!def(SYSLOG_NG_HAVE_UTMPX_H),
!def(SYSLOG_NG_HAVE_STRCASESTR),
!def(SYSLOG_NG_HAVE_MEMRCHR),
True,
def(SYSLOG_NG_HAVE_UTMPX_H),
def(SYSLOG_NG_HAVE_CLOCK_GETTIME),
!def(_AIX),
!def(_MSC_VER),
