!def(SYSLOG_NG_HAVE_INET_ATON),
!def(_AIX),
def(__linux__),
True,
!def(SYSLOG_NG_HAVE_STRCASESTR),
!def(STATIC),
def(_AIX),
def(JSON_C_VERSION),
def(SYSLOG_NG_HAVE_CLOCK_GETTIME),
def(SYSLOG_NG_HAVE_UTMPX_H),
!def(SYSLOG_NG_HAVE_MEMRCHR),
!def(PCRE_NEWLINE_ANYCRLF),
def(ENV_LD_LIBRARY_PATH),
!def(JSON_C_VERSION),
!def(SYSLOG_NG_HAVE_UTMPX_H),
!def(_MSC_VER),
