!def(SYSLOG_NG_HAVE_UTMPX_H),
!def(STATIC),
def(SYSLOG_NG_HAVE_CLOCK_GETTIME),
True,
!def(JSON_C_VERSION),
!def(SYSLOG_NG_HAVE_MEMRCHR),
def(ENV_LD_LIBRARY_PATH),
!def(_AIX),
!def(SYSLOG_NG_HAVE_STRCASESTR),
!def(PCRE_NEWLINE_ANYCRLF),
def(JSON_C_VERSION),
def(SYSLOG_NG_HAVE_UTMPX_H),
!def(_MSC_VER),
def(__linux__),
!def(SYSLOG_NG_HAVE_INET_ATON),
def(_AIX),
