!def(SYSLOG_NG_HAVE_UTMPX_H),
def(JSON_C_VERSION),
def(ENV_LD_LIBRARY_PATH),
def(_AIX),
!def(STATIC),
!def(SYSLOG_NG_HAVE_STRCASESTR),
!def(PCRE_NEWLINE_ANYCRLF),
!def(SYSLOG_NG_HAVE_INET_ATON),
def(SYSLOG_NG_HAVE_CLOCK_GETTIME),
!def(SYSLOG_NG_HAVE_MEMRCHR),
!def(JSON_C_VERSION),
def(__linux__),
True,
!def(_AIX),
!def(_MSC_VER),
def(SYSLOG_NG_HAVE_UTMPX_H),
