!def(_MSC_VER),
def(SYSLOG_NG_HAVE_UTMPX_H),
!def(_AIX),
def(JSON_C_VERSION),
!def(SYSLOG_NG_HAVE_MEMRCHR),
!def(SYSLOG_NG_HAVE_UTMPX_H),
def(_AIX),
def(__linux__),
True,
!def(JSON_C_VERSION),
def(SYSLOG_NG_HAVE_CLOCK_GETTIME),
def(ENV_LD_LIBRARY_PATH),
!def(PCRE_NEWLINE_ANYCRLF),
!def(STATIC),
!def(SYSLOG_NG_HAVE_INET_ATON),
!def(SYSLOG_NG_HAVE_STRCASESTR),
