!def(_AIX),
!def(_MSC_VER),
!def(SYSLOG_NG_HAVE_MEMRCHR),
!def(SYSLOG_NG_HAVE_INET_ATON),
def(SYSLOG_NG_HAVE_CLOCK_GETTIME),
def(ENV_LD_LIBRARY_PATH),
!def(STATIC),
!def(SYSLOG_NG_HAVE_UTMPX_H),
True,
!def(JSON_C_VERSION),
def(_AIX),
def(SYSLOG_NG_HAVE_UTMPX_H),
!def(PCRE_NEWLINE_ANYCRLF),
def(JSON_C_VERSION),
def(__linux__),
!def(SYSLOG_NG_HAVE_STRCASESTR),
