!def(SYSLOG_NG_HAVE_UTMPX_H),
!def(STATIC),
!def(SYSLOG_NG_HAVE_STRCASESTR),
!def(_AIX),
def(SYSLOG_NG_HAVE_CLOCK_GETTIME),
def(_AIX),
def(JSON_C_VERSION),
!def(_MSC_VER),
True,
!def(JSON_C_VERSION),
!def(SYSLOG_NG_HAVE_INET_ATON),
!def(PCRE_NEWLINE_ANYCRLF),
def(ENV_LD_LIBRARY_PATH),
def(SYSLOG_NG_HAVE_UTMPX_H),
def(__linux__),
!def(SYSLOG_NG_HAVE_MEMRCHR),
