def(SYSLOG_NG_HAVE_UTMPX_H),
!def(SYSLOG_NG_HAVE_STRCASESTR),
def(__linux__),
!def(_AIX),
def(ENV_LD_LIBRARY_PATH),
def(_AIX),
True,
!def(PCRE_NEWLINE_ANYCRLF),
!def(_MSC_VER),
def(SYSLOG_NG_HAVE_CLOCK_GETTIME),
!def(SYSLOG_NG_HAVE_UTMPX_H),
!def(JSON_C_VERSION),
!def(SYSLOG_NG_HAVE_MEMRCHR),
def(JSON_C_VERSION),
!def(SYSLOG_NG_HAVE_INET_ATON),
