!def(SYSLOG_NG_HAVE_MEMRCHR),
def(JSON_C_VERSION),
def(__linux__),
def(SYSLOG_NG_HAVE_CLOCK_GETTIME),
def(ENV_LD_LIBRARY_PATH),
def(SYSLOG_NG_HAVE_UTMPX_H),
!def(_AIX),
!def(SYSLOG_NG_HAVE_UTMPX_H),
!def(PCRE_NEWLINE_ANYCRLF),
True,
def(_AIX),
!def(SYSLOG_NG_HAVE_STRCASESTR),
!def(_MSC_VER),
!def(JSON_C_VERSION),
!def(SYSLOG_NG_HAVE_INET_ATON),
