!def(SYSLOG_NG_HAVE_MEMRCHR),
!def(SYSLOG_NG_HAVE_MODERN_UTMP),
def(JSON_C_VERSION),
!def(STATIC),
def(ENV_LD_LIBRARY_PATH),
!def(SYSLOG_NG_HAVE_UTMPX_H),
def(_AIX),
!def(JSON_C_VERSION),
!def(SYSLOG_NG_HAVE_STRCASESTR),
def(SYSLOG_NG_HAVE_CLOCK_GETTIME),
def(SYSLOG_NG_HAVE_UTMPX_H),
True,
!def(SYSLOG_NG_HAVE_INET_ATON),
def(SYSLOG_NG_HAVE_MODERN_UTMP),
!def(_MSC_VER),
!def(_AIX),
def(__linux__),
