!def(SYSLOG_NG_HAVE_STRCASESTR),
!def(SYSLOG_NG_HAVE_MEMRCHR),
!def(SYSLOG_NG_HAVE_INET_ATON),
def(_AIX),
!def(JSON_C_VERSION),
def(__linux__),
!def(PCRE_NEWLINE_ANYCRLF),
!def(_MSC_VER),
def(JSON_C_VERSION),
def(SYSLOG_NG_HAVE_UTMPX_H),
def(SYSLOG_NG_HAVE_CLOCK_GETTIME),
def(ENV_LD_LIBRARY_PATH),
!def(STATIC),
True,
!def(SYSLOG_NG_HAVE_UTMPX_H),
!def(_AIX),
