!def(SYSLOG_NG_HAVE_MEMRCHR),
!def(PCRE_NEWLINE_ANYCRLF),
!def(SYSLOG_NG_HAVE_UTMPX_H),
def(SYSLOG_NG_HAVE_CLOCK_GETTIME),
def(_AIX),
!def(SYSLOG_NG_HAVE_STRCASESTR),
!def(_MSC_VER),
def(JSON_C_VERSION),
!def(_AIX),
!def(STATIC),
!def(JSON_C_VERSION),
def(ENV_LD_LIBRARY_PATH),
True,
def(__linux__),
def(SYSLOG_NG_HAVE_UTMPX_H),
!def(SYSLOG_NG_HAVE_INET_ATON),
