!def(SYSLOG_NG_HAVE_STRCASESTR),
def(SYSLOG_NG_HAVE_UTMPX_H),
!def(SYSLOG_NG_HAVE_MEMRCHR),
!def(STATIC),
True,
def(SYSLOG_NG_HAVE_CLOCK_GETTIME),
def(JSON_C_VERSION),
def(_AIX),
def(ENV_LD_LIBRARY_PATH),
!def(SYSLOG_NG_HAVE_UTMPX_H),
def(__linux__),
!def(JSON_C_VERSION),
!def(SYSLOG_NG_HAVE_INET_ATON),
!def(_AIX),
!def(_MSC_VER),
