!def(SYSLOG_NG_HAVE_STRCASESTR),
def(SYSLOG_NG_HAVE_CLOCK_GETTIME),
!def(JSON_C_VERSION),
def(_AIX),
!def(_MSC_VER),
def(__linux__),
!def(SYSLOG_NG_HAVE_UTMPX_H),
def(ENV_LD_LIBRARY_PATH),
!def(_AIX),
True,
def(SYSLOG_NG_HAVE_UTMPX_H),
!def(SYSLOG_NG_HAVE_INET_ATON),
!def(PCRE_NEWLINE_ANYCRLF),
!def(SYSLOG_NG_HAVE_MEMRCHR),
def(JSON_C_VERSION),
