!def(JSON_C_VERSION),
!def(SYSLOG_NG_HAVE_UTMPX_H),
!def(SYSLOG_NG_HAVE_INET_ATON),
def(ENV_LD_LIBRARY_PATH),
def(JSON_C_VERSION),
!def(SYSLOG_NG_HAVE_MEMRCHR),
!def(STATIC),
True,
def(SYSLOG_NG_HAVE_CLOCK_GETTIME),
!def(PCRE_NEWLINE_ANYCRLF),
def(SYSLOG_NG_HAVE_UTMPX_H),
!def(_MSC_VER),
def(_AIX),
!def(SYSLOG_NG_HAVE_STRCASESTR),
def(__linux__),
!def(_AIX),
