!def(_AIX),
def(_AIX),
!def(SYSLOG_NG_HAVE_STRCASESTR),
def(SYSLOG_NG_HAVE_UTMPX_H),
!def(JSON_C_VERSION),
!def(_MSC_VER),
!def(STATIC),
def(__linux__),
def(SYSLOG_NG_HAVE_CLOCK_GETTIME),
!def(SYSLOG_NG_HAVE_MEMRCHR),
def(ENV_LD_LIBRARY_PATH),
!def(SYSLOG_NG_HAVE_INET_ATON),
def(JSON_C_VERSION),
!def(SYSLOG_NG_HAVE_UTMPX_H),
True,
