!def(SYSLOG_NG_HAVE_STRCASESTR),
!def(STATIC),
def(ENV_LD_LIBRARY_PATH),
def(SYSLOG_NG_HAVE_UTMPX_H),
def(__linux__),
!def(SYSLOG_NG_HAVE_UTMPX_H),
def(JSON_C_VERSION),
!def(_AIX),
!def(JSON_C_VERSION),
def(_AIX),
!def(_MSC_VER),
!def(SYSLOG_NG_HAVE_INET_ATON),
!def(SYSLOG_NG_HAVE_MEMRCHR),
def(SYSLOG_NG_HAVE_CLOCK_GETTIME),
True,
