!def(_AIX),
def(SYSLOG_NG_HAVE_CLOCK_GETTIME),
def(_AIX),
!def(PCRE_NEWLINE_ANYCRLF),
def(ENV_LD_LIBRARY_PATH),
!def(_MSC_VER),
def(__linux__),
!def(SYSLOG_NG_HAVE_MEMRCHR),
!def(JSON_C_VERSION),
def(SYSLOG_NG_HAVE_UTMPX_H),
!def(SYSLOG_NG_HAVE_INET_ATON),
True,
!def(SYSLOG_NG_HAVE_UTMPX_H),
def(JSON_C_VERSION),
!def(SYSLOG_NG_HAVE_STRCASESTR),
!def(STATIC),
