!def(SYSLOG_NG_HAVE_UTMPX_H),
!def(SYSLOG_NG_HAVE_MEMRCHR),
!def(_AIX),
!def(_MSC_VER),
def(SYSLOG_NG_HAVE_CLOCK_GETTIME),
True,
def(_AIX),
def(JSON_C_VERSION),
!def(STATIC),
!def(JSON_C_VERSION),
def(SYSLOG_NG_HAVE_UTMPX_H),
def(ENV_LD_LIBRARY_PATH),
def(__linux__),
!def(SYSLOG_NG_HAVE_STRCASESTR),
!def(PCRE_NEWLINE_ANYCRLF),
!def(SYSLOG_NG_HAVE_INET_ATON),
