!def(SYSLOG_NG_HAVE_MEMRCHR),
!def(_MSC_VER),
def(ENV_LD_LIBRARY_PATH),
!def(PCRE_NEWLINE_ANYCRLF),
True,
!def(_AIX),
!def(JSON_C_VERSION),
def(SYSLOG_NG_HAVE_CLOCK_GETTIME),
!def(SYSLOG_NG_HAVE_STRCASESTR),
def(JSON_C_VERSION),
!def(SYSLOG_NG_HAVE_INET_ATON),
def(__linux__),
def(SYSLOG_NG_HAVE_UTMPX_H),
def(_AIX),
!def(SYSLOG_NG_HAVE_UTMPX_H),
