def(SYSLOG_NG_HAVE_UTMPX_H),
!def(SYSLOG_NG_HAVE_MEMRCHR),
!def(SYSLOG_NG_HAVE_INET_ATON),
!def(STATIC),
def(JSON_C_VERSION),
!def(SYSLOG_NG_HAVE_UTMPX_H),
True,
def(SYSLOG_NG_HAVE_CLOCK_GETTIME),
def(ENV_LD_LIBRARY_PATH),
!def(SYSLOG_NG_HAVE_STRCASESTR),
!def(JSON_C_VERSION),
def(__linux__),
!def(_AIX),
!def(_MSC_VER),
def(_AIX),
!def(PCRE_NEWLINE_ANYCRLF),
