!def(STATIC),
!def(SYSLOG_NG_HAVE_MODERN_UTMP),
!def(SYSLOG_NG_HAVE_STRCASESTR),
def(_AIX),
!def(_AIX),
!def(SYSLOG_NG_HAVE_INET_ATON),
def(SYSLOG_NG_HAVE_UTMPX_H),
!def(SYSLOG_NG_HAVE_MEMRCHR),
def(SYSLOG_NG_HAVE_MODERN_UTMP),
def(JSON_C_VERSION),
def(ENV_LD_LIBRARY_PATH),
!def(JSON_C_VERSION),
def(__linux__),
True,
!def(_MSC_VER),
def(SYSLOG_NG_HAVE_CLOCK_GETTIME),
!def(SYSLOG_NG_HAVE_UTMPX_H),
