def(SYSLOG_NG_HAVE_UTMPX_H),
!def(SYSLOG_NG_HAVE_UTMPX_H),
!def(SYSLOG_NG_HAVE_STRCASESTR),
def(SYSLOG_NG_HAVE_CLOCK_GETTIME),
True,
!def(_AIX),
def(_AIX),
def(JSON_C_VERSION),
def(ENV_LD_LIBRARY_PATH),
!def(JSON_C_VERSION),
!def(STATIC),
!def(SYSLOG_NG_HAVE_MEMRCHR),
!def(PCRE_NEWLINE_ANYCRLF),
!def(_MSC_VER),
def(__linux__),
!def(SYSLOG_NG_HAVE_INET_ATON),
