!def(SYSLOG_NG_HAVE_UTMPX_H),
!def(JSON_C_VERSION),
def(_AIX),
def(SYSLOG_NG_HAVE_CLOCK_GETTIME),
!def(SYSLOG_NG_HAVE_INET_ATON),
!def(PCRE_NEWLINE_ANYCRLF),
!def(STATIC),
!def(_AIX),
def(ENV_LD_LIBRARY_PATH),
!def(SYSLOG_NG_HAVE_MEMRCHR),
def(JSON_C_VERSION),
!def(_MSC_VER),
True,
!def(SYSLOG_NG_HAVE_STRCASESTR),
def(SYSLOG_NG_HAVE_UTMPX_H),
def(__linux__),
