!def(SYSLOG_NG_HAVE_UTMPX_H),
!def(_MSC_VER),
!def(SYSLOG_NG_HAVE_MEMRCHR),
def(SYSLOG_NG_HAVE_CLOCK_GETTIME),
def(JSON_C_VERSION),
def(SYSLOG_NG_HAVE_UTMPX_H),
!def(SYSLOG_NG_HAVE_STRCASESTR),
def(__linux__),
!def(PCRE_NEWLINE_ANYCRLF),
!def(STATIC),
def(_AIX),
True,
!def(JSON_C_VERSION),
!def(SYSLOG_NG_HAVE_INET_ATON),
!def(_AIX),
def(ENV_LD_LIBRARY_PATH),
