!def(JSON_C_VERSION),
def(_AIX),
def(SYSLOG_NG_HAVE_CLOCK_GETTIME),
!def(SYSLOG_NG_HAVE_STRCASESTR),
!def(STATIC),
!def(_MSC_VER),
True,
def(JSON_C_VERSION),
def(ENV_LD_LIBRARY_PATH),
def(SYSLOG_NG_HAVE_MODERN_UTMP),
def(__linux__),
!def(_AIX),
!def(SYSLOG_NG_HAVE_MODERN_UTMP),
!def(SYSLOG_NG_HAVE_UTMPX_H),
!def(SYSLOG_NG_HAVE_MEMRCHR),
!def(SYSLOG_NG_HAVE_INET_ATON),
def(SYSLOG_NG_HAVE_UTMPX_H),
