!def(PCRE_NEWLINE_ANYCRLF),
!def(SYSLOG_NG_HAVE_INET_ATON),
def(SYSLOG_NG_HAVE_CLOCK_GETTIME),
!def(_AIX),
def(SYSLOG_NG_HAVE_UTMPX_H),
!def(SYSLOG_NG_HAVE_UTMPX_H),
!def(STATIC),
!def(SYSLOG_NG_HAVE_STRCASESTR),
def(ENV_LD_LIBRARY_PATH),
!def(_MSC_VER),
def(__linux__),
!def(SYSLOG_NG_HAVE_MEMRCHR),
def(JSON_C_VERSION),
True,
def(_AIX),
!def(JSON_C_VERSION),
