!def(SYSLOG_NG_HAVE_INET_ATON),
!def(SYSLOG_NG_HAVE_MODERN_UTMP),
def(JSON_C_VERSION),
!def(SYSLOG_NG_HAVE_STRCASESTR),
!def(SYSLOG_NG_HAVE_UTMPX_H),
def(__linux__),
def(_AIX),
!def(STATIC),
def(ENV_LD_LIBRARY_PATH),
True,
def(SYSLOG_NG_HAVE_UTMPX_H),
def(SYSLOG_NG_HAVE_MODERN_UTMP),
!def(_AIX),
def(SYSLOG_NG_HAVE_CLOCK_GETTIME),
!def(JSON_C_VERSION),
!def(SYSLOG_NG_HAVE_MEMRCHR),
!def(_MSC_VER),
