!def(SYSLOG_NG_HAVE_MEMRCHR),
def(SYSLOG_NG_HAVE_UTMPX_H),
!def(STATIC),
!def(SYSLOG_NG_HAVE_STRCASESTR),
!def(_AIX),
!def(PCRE_NEWLINE_ANYCRLF),
!def(JSON_C_VERSION),
def(__linux__),
def(ENV_LD_LIBRARY_PATH),
def(SYSLOG_NG_HAVE_CLOCK_GETTIME),
!def(SYSLOG_NG_HAVE_UTMPX_H),
def(JSON_C_VERSION),
True,
def(_AIX),
!def(_MSC_VER),
!def(SYSLOG_NG_HAVE_INET_ATON),
