!def(_AIX),
!def(SYSLOG_NG_HAVE_STRCASESTR),
!def(JSON_C_VERSION),
def(_AIX),
def(ENV_LD_LIBRARY_PATH),
!def(SYSLOG_NG_HAVE_UTMPX_H),
!def(PCRE_NEWLINE_ANYCRLF),
True,
!def(_MSC_VER),
def(__linux__),
!def(SYSLOG_NG_HAVE_MEMRCHR),
!def(STATIC),
def(SYSLOG_NG_HAVE_UTMPX_H),
!def(SYSLOG_NG_HAVE_INET_ATON),
def(JSON_C_VERSION),
def(SYSLOG_NG_HAVE_CLOCK_GETTIME),
