!def(SYSLOG_NG_HAVE_INET_ATON),
def(SYSLOG_NG_HAVE_UTMPX_H),
def(JSON_C_VERSION),
!def(SYSLOG_NG_HAVE_UTMPX_H),
!def(_AIX),
!def(PCRE_NEWLINE_ANYCRLF),
def(SYSLOG_NG_HAVE_CLOCK_GETTIME),
def(ENV_LD_LIBRARY_PATH),
!def(_MSC_VER),
!def(STATIC),
!def(SYSLOG_NG_HAVE_MEMRCHR),
True,
def(__linux__),
!def(SYSLOG_NG_HAVE_STRCASESTR),
def(_AIX),
!def(JSON_C_VERSION),
