def(SYSLOG_NG_HAVE_UTMPX_H),
!def(SYSLOG_NG_HAVE_INET_ATON),
def(SYSLOG_NG_HAVE_MODERN_UTMP),
!def(SYSLOG_NG_HAVE_MODERN_UTMP),
def(__linux__),
!def(SYSLOG_NG_HAVE_UTMPX_H),
def(_AIX),
def(JSON_C_VERSION),
!def(SYSLOG_NG_HAVE_STRCASESTR),
!def(_AIX),
!def(JSON_C_VERSION),
!def(STATIC),
!def(_MSC_VER),
def(SYSLOG_NG_HAVE_CLOCK_GETTIME),
!def(SYSLOG_NG_HAVE_MEMRCHR),
def(ENV_LD_LIBRARY_PATH),
True,
