!def(SYSLOG_NG_HAVE_INET_ATON),
!def(SYSLOG_NG_HAVE_MEMRCHR),
!def(_MSC_VER),
!def(SYSLOG_NG_HAVE_STRCASESTR),
def(ENV_LD_LIBRARY_PATH),
def(__linux__),
!def(JSON_C_VERSION),
!def(SYSLOG_NG_HAVE_UTMPX_H),
def(_AIX),
!def(STATIC),
!def(_AIX),
def(JSON_C_VERSION),
def(SYSLOG_NG_HAVE_CLOCK_GETTIME),
!def(PCRE_NEWLINE_ANYCRLF),
def(SYSLOG_NG_HAVE_UTMPX_H),
True,
