!def(JSON_C_VERSION),
!def(SYSLOG_NG_HAVE_INET_ATON),
!def(PCRE_NEWLINE_ANYCRLF),
!def(SYSLOG_NG_HAVE_STRCASESTR),
def(ENV_LD_LIBRARY_PATH),
def(_AIX),
!def(_MSC_VER),
def(JSON_C_VERSION),
!def(SYSLOG_NG_HAVE_MEMRCHR),
!def(SYSLOG_NG_HAVE_UTMPX_H),
def(__linux__),
!def(_AIX),
True,
!def(STATIC),
def(SYSLOG_NG_HAVE_CLOCK_GETTIME),
def(SYSLOG_NG_HAVE_UTMPX_H),
