!def(STATIC),
!def(_AIX),
def(SYSLOG_NG_HAVE_CLOCK_GETTIME),
!def(SYSLOG_NG_HAVE_UTMPX_H),
def(__linux__),
True,
def(ENV_LD_LIBRARY_PATH),
def(JSON_C_VERSION),
!def(JSON_C_VERSION),
def(SYSLOG_NG_HAVE_UTMPX_H),
def(_AIX),
!def(SYSLOG_NG_HAVE_STRCASESTR),
!def(PCRE_NEWLINE_ANYCRLF),
!def(SYSLOG_NG_HAVE_INET_ATON),
!def(SYSLOG_NG_HAVE_MEMRCHR),
!def(_MSC_VER),
