def(SYSLOG_NG_HAVE_MODERN_UTMP),
!def(_MSC_VER),
def(_AIX),
def(SYSLOG_NG_HAVE_CLOCK_GETTIME),
!def(SYSLOG_NG_HAVE_STRCASESTR),
!def(_AIX),
!def(SYSLOG_NG_HAVE_INET_ATON),
!def(STATIC),
def(__linux__),
def(JSON_C_VERSION),
!def(JSON_C_VERSION),
True,
!def(SYSLOG_NG_HAVE_MEMRCHR),
!def(SYSLOG_NG_HAVE_UTMPX_H),
def(SYSLOG_NG_HAVE_UTMPX_H),
!def(SYSLOG_NG_HAVE_MODERN_UTMP),
def(ENV_LD_LIBRARY_PATH),
