!def(_AIX),
!def(SYSLOG_NG_HAVE_INET_ATON),
def(SYSLOG_NG_HAVE_UTMPX_H),
!def(SYSLOG_NG_HAVE_STRCASESTR),
!def(_MSC_VER),
def(__linux__),
!def(JSON_C_VERSION),
!def(SYSLOG_NG_HAVE_UTMPX_H),
def(ENV_LD_LIBRARY_PATH),
def(JSON_C_VERSION),
!def(PCRE_NEWLINE_ANYCRLF),
def(_AIX),
!def(SYSLOG_NG_HAVE_MEMRCHR),
True,
def(SYSLOG_NG_HAVE_CLOCK_GETTIME),
