!def(SYSLOG_NG_HAVE_STRCASESTR),
!def(_MSC_VER),
!def(_AIX),
def(SYSLOG_NG_HAVE_CLOCK_GETTIME),
def(SYSLOG_NG_HAVE_UTMPX_H),
def(JSON_C_VERSION),
!def(JSON_C_VERSION),
True,
def(_AIX),
def(__linux__),
!def(SYSLOG_NG_HAVE_INET_ATON),
!def(STATIC),
!def(PCRE_NEWLINE_ANYCRLF),
!def(SYSLOG_NG_HAVE_UTMPX_H),
def(ENV_LD_LIBRARY_PATH),
!def(SYSLOG_NG_HAVE_MEMRCHR),
