!def(JSON_C_VERSION),
def(_AIX),
True,
!def(_MSC_VER),
def(ENV_LD_LIBRARY_PATH),
!def(SYSLOG_NG_HAVE_INET_ATON),
!def(SYSLOG_NG_HAVE_MEMRCHR),
!def(STATIC),
def(SYSLOG_NG_HAVE_CLOCK_GETTIME),
def(SYSLOG_NG_HAVE_UTMPX_H),
!def(PCRE_NEWLINE_ANYCRLF),
def(__linux__),
!def(SYSLOG_NG_HAVE_STRCASESTR),
!def(SYSLOG_NG_HAVE_UTMPX_H),
!def(_AIX),
def(JSON_C_VERSION),
