def(SYSLOG_NG_HAVE_CLOCK_GETTIME),
!def(SYSLOG_NG_HAVE_STRCASESTR),
!def(SYSLOG_NG_HAVE_INET_ATON),
!def(PCRE_NEWLINE_ANYCRLF),
def(_AIX),
!def(SYSLOG_NG_HAVE_UTMPX_H),
!def(STATIC),
!def(_AIX),
True,
!def(_MSC_VER),
def(__linux__),
def(ENV_LD_LIBRARY_PATH),
!def(JSON_C_VERSION),
def(JSON_C_VERSION),
!def(SYSLOG_NG_HAVE_MEMRCHR),
def(SYSLOG_NG_HAVE_UTMPX_H),
