def(SYSLOG_NG_HAVE_CLOCK_GETTIME),
!def(_MSC_VER),
def(SYSLOG_NG_HAVE_UTMPX_H),
!def(SYSLOG_NG_HAVE_MEMRCHR),
def(JSON_C_VERSION),
def(__linux__),
def(_AIX),
!def(_AIX),
True,
!def(JSON_C_VERSION),
def(ENV_LD_LIBRARY_PATH),
!def(SYSLOG_NG_HAVE_MODERN_UTMP),
!def(SYSLOG_NG_HAVE_STRCASESTR),
def(SYSLOG_NG_HAVE_MODERN_UTMP),
!def(STATIC),
!def(SYSLOG_NG_HAVE_INET_ATON),
!def(SYSLOG_NG_HAVE_UTMPX_H),
