!def(JSON_C_VERSION),
!def(SYSLOG_NG_HAVE_UTMPX_H),
def(ENV_LD_LIBRARY_PATH),
def(JSON_C_VERSION),
def(_AIX),
def(SYSLOG_NG_HAVE_UTMPX_H),
!def(_AIX),
!def(_MSC_VER),
!def(STATIC),
!def(SYSLOG_NG_HAVE_STRCASESTR),
!def(SYSLOG_NG_HAVE_MODERN_UTMP),
def(SYSLOG_NG_HAVE_MODERN_UTMP),
def(__linux__),
def(SYSLOG_NG_HAVE_CLOCK_GETTIME),
True,
!def(SYSLOG_NG_HAVE_MEMRCHR),
!def(SYSLOG_NG_HAVE_INET_ATON),
