!def(SYSLOG_NG_HAVE_INET_ATON),
def(JSON_C_VERSION),
!def(JSON_C_VERSION),
!def(SYSLOG_NG_HAVE_MEMRCHR),
def(SYSLOG_NG_HAVE_CLOCK_GETTIME),
def(SYSLOG_NG_HAVE_UTMPX_H),
def(__linux__),
!def(SYSLOG_NG_HAVE_STRCASESTR),
True,
!def(_MSC_VER),
!def(STATIC),
!def(SYSLOG_NG_HAVE_UTMPX_H),
!def(_AIX),
def(_AIX),
def(ENV_LD_LIBRARY_PATH),
!def(PCRE_NEWLINE_ANYCRLF),
