def(SYSLOG_NG_HAVE_UTMPX_H),
def(_AIX),
!def(_AIX),
!def(_MSC_VER),
!def(SYSLOG_NG_HAVE_STRCASESTR),
!def(SYSLOG_NG_HAVE_UTMPX_H),
!def(STATIC),
!def(JSON_C_VERSION),
!def(SYSLOG_NG_HAVE_MEMRCHR),
True,
def(SYSLOG_NG_HAVE_CLOCK_GETTIME),
def(JSON_C_VERSION),
def(ENV_LD_LIBRARY_PATH),
!def(PCRE_NEWLINE_ANYCRLF),
def(__linux__),
!def(SYSLOG_NG_HAVE_INET_ATON),
