!def(SYSLOG_NG_HAVE_MEMRCHR),
!def(SYSLOG_NG_HAVE_UTMPX_H),
def(ENV_LD_LIBRARY_PATH),
True,
def(SYSLOG_NG_HAVE_UTMPX_H),
def(__linux__),
!def(PCRE_NEWLINE_ANYCRLF),
!def(STATIC),
!def(_MSC_VER),
def(_AIX),
!def(SYSLOG_NG_HAVE_INET_ATON),
def(JSON_C_VERSION),
!def(JSON_C_VERSION),
def(SYSLOG_NG_HAVE_CLOCK_GETTIME),
!def(SYSLOG_NG_HAVE_STRCASESTR),
!def(_AIX),
