!def(SYSLOG_NG_HAVE_STRCASESTR),
!def(_AIX),
def(ENV_LD_LIBRARY_PATH),
!def(JSON_C_VERSION),
def(SYSLOG_NG_HAVE_CLOCK_GETTIME),
True,
def(_AIX),
!def(_MSC_VER),
!def(STATIC),
!def(SYSLOG_NG_HAVE_UTMPX_H),
!def(SYSLOG_NG_HAVE_MEMRCHR),
def(__linux__),
def(SYSLOG_NG_HAVE_UTMPX_H),
!def(SYSLOG_NG_HAVE_INET_ATON),
def(JSON_C_VERSION),
!def(PCRE_NEWLINE_ANYCRLF),
