!def(SYSLOG_NG_HAVE_UTMPX_H),
!def(SYSLOG_NG_HAVE_INET_ATON),
!def(_AIX),
!def(_MSC_VER),
def(ENV_LD_LIBRARY_PATH),
!def(SYSLOG_NG_HAVE_MEMRCHR),
def(JSON_C_VERSION),
def(SYSLOG_NG_HAVE_UTMPX_H),
!def(JSON_C_VERSION),
!def(SYSLOG_NG_HAVE_STRCASESTR),
!def(STATIC),
def(_AIX),
def(SYSLOG_NG_HAVE_CLOCK_GETTIME),
def(__linux__),
!def(PCRE_NEWLINE_ANYCRLF),
True,
