!def(SYSLOG_NG_HAVE_MEMRCHR),
!def(_MSC_VER),
def(SYSLOG_NG_HAVE_CLOCK_GETTIME),
def(JSON_C_VERSION),
!def(STATIC),
!def(PCRE_NEWLINE_ANYCRLF),
True,
!def(JSON_C_VERSION),
def(_AIX),
!def(SYSLOG_NG_HAVE_STRCASESTR),
!def(_AIX),
!def(SYSLOG_NG_HAVE_INET_ATON),
def(ENV_LD_LIBRARY_PATH),
def(__linux__),
def(SYSLOG_NG_HAVE_UTMPX_H),
!def(SYSLOG_NG_HAVE_UTMPX_H),
