!def(STATIC),
!def(PCRE_NEWLINE_ANYCRLF),
def(SYSLOG_NG_HAVE_UTMPX_H),
def(__linux__),
!def(SYSLOG_NG_HAVE_INET_ATON),
!def(_AIX),
True,
def(JSON_C_VERSION),
def(ENV_LD_LIBRARY_PATH),
!def(_MSC_VER),
def(SYSLOG_NG_HAVE_CLOCK_GETTIME),
!def(SYSLOG_NG_HAVE_MEMRCHR),
!def(SYSLOG_NG_HAVE_STRCASESTR),
def(_AIX),
!def(SYSLOG_NG_HAVE_UTMPX_H),
!def(JSON_C_VERSION),
