!def(SYSLOG_NG_HAVE_STRCASESTR),
def(_AIX),
def(SYSLOG_NG_HAVE_UTMPX_H),
!def(SYSLOG_NG_HAVE_MEMRCHR),
!def(SYSLOG_NG_HAVE_UTMPX_H),
def(__linux__),
def(JSON_C_VERSION),
!def(SYSLOG_NG_HAVE_INET_ATON),
!def(PCRE_NEWLINE_ANYCRLF),
!def(STATIC),
True,
!def(JSON_C_VERSION),
def(ENV_LD_LIBRARY_PATH),
!def(_MSC_VER),
!def(_AIX),
def(SYSLOG_NG_HAVE_CLOCK_GETTIME),
