!def(PCRE_NEWLINE_ANYCRLF),
!def(_MSC_VER),
!def(_AIX),
def(SYSLOG_NG_HAVE_CLOCK_GETTIME),
!def(SYSLOG_NG_HAVE_INET_ATON),
!def(SYSLOG_NG_HAVE_UTMPX_H),
!def(SYSLOG_NG_HAVE_MEMRCHR),
True,
def(ENV_LD_LIBRARY_PATH),
!def(JSON_C_VERSION),
def(JSON_C_VERSION),
def(_AIX),
def(SYSLOG_NG_HAVE_UTMPX_H),
def(__linux__),
!def(SYSLOG_NG_HAVE_STRCASESTR),
