!def(SYSLOG_NG_HAVE_MEMRCHR),
!def(SYSLOG_NG_HAVE_STRCASESTR),
!def(STATIC),
def(ENV_LD_LIBRARY_PATH),
!def(JSON_C_VERSION),
def(SYSLOG_NG_HAVE_CLOCK_GETTIME),
def(JSON_C_VERSION),
!def(SYSLOG_NG_HAVE_UTMPX_H),
!def(_AIX),
def(_AIX),
def(__linux__),
def(SYSLOG_NG_HAVE_UTMPX_H),
!def(SYSLOG_NG_HAVE_INET_ATON),
True,
!def(_MSC_VER),
