!def(SYSLOG_NG_HAVE_STRCASESTR),
def(SYSLOG_NG_HAVE_CLOCK_GETTIME),
def(ENV_LD_LIBRARY_PATH),
def(SYSLOG_NG_HAVE_UTMPX_H),
def(__linux__),
def(JSON_C_VERSION),
True,
!def(_MSC_VER),
!def(_AIX),
!def(STATIC),
!def(SYSLOG_NG_HAVE_UTMPX_H),
!def(JSON_C_VERSION),
def(_AIX),
!def(SYSLOG_NG_HAVE_MEMRCHR),
!def(SYSLOG_NG_HAVE_INET_ATON),
