!def(SYSLOG_NG_HAVE_UTMPX_H),
def(ENV_LD_LIBRARY_PATH),
!def(STATIC),
def(__linux__),
def(SYSLOG_NG_HAVE_UTMPX_H),
!def(JSON_C_VERSION),
!def(SYSLOG_NG_HAVE_STRCASESTR),
def(_AIX),
!def(SYSLOG_NG_HAVE_MEMRCHR),
!def(SYSLOG_NG_HAVE_INET_ATON),
def(SYSLOG_NG_HAVE_CLOCK_GETTIME),
!def(_AIX),
True,
!def(PCRE_NEWLINE_ANYCRLF),
!def(_MSC_VER),
def(JSON_C_VERSION),
