def(SYSLOG_NG_HAVE_UTMPX_H),
!def(SYSLOG_NG_HAVE_MEMRCHR),
def(__linux__),
def(SYSLOG_NG_HAVE_CLOCK_GETTIME),
!def(SYSLOG_NG_HAVE_STRCASESTR),
def(JSON_C_VERSION),
!def(JSON_C_VERSION),
!def(PCRE_NEWLINE_ANYCRLF),
!def(_AIX),
def(ENV_LD_LIBRARY_PATH),
True,
!def(_MSC_VER),
!def(SYSLOG_NG_HAVE_UTMPX_H),
!def(SYSLOG_NG_HAVE_INET_ATON),
!def(STATIC),
def(_AIX),
