!def(WIN32),hexchat_exec,exclusion,Function,4
!def(WIN32),servlist_save,additon,Function,4
!def(WIN32),hexchat_execv,additon,Function,4
def(WIN32),load_config,exclusion,Function,4
True,argv,additon,Variable,4
True,main,additon,Function,4
