!def(OSSECHIDS),def(OSSECHIDS)
def(OSSECHIDS),True
def(BF_PTR2),!def(BF_PTR2)
True,def(OSSECHIDS)
def(SOLARIS),def(OSSECHIDS)
True,(!def(ASM_MD5)&!def(HIGHFIRST))
!def(LOCAL),True
True,def(WIN32)
True,def(AIX)
!def(OSSECHIDS),!def(WIN32)
def(DEBUG),True
!def(LOCAL),def(WIN32)
True,!def(OSSECHIDS)
!def(BF_DEFAULT_OPTIONS),True
!def(WIN32),True
!def(SOLARIS),def(OSSECHIDS)
def(OSSECHIDS),def(WIN32)
def(__OpenBSD__),True
!def(BF_PTR2),def(BF_PTR2)
True,!def(WIN32)
True,!def(BF_DEFAULT_OPTIONS)
!def(OSSECHIDS),True
def(WIN32),True
