!def(LOCAL),!def(WIN32)
True,(!def(ASM_MD5)&!def(HIGHFIRST))
True,!def(BF_DEFAULT_OPTIONS)
!def(WIN32),def(WIN32)
!def(BF_PTR2),def(BF_PTR2)
!def(LOCAL),True
def(WIN32),!def(WIN32)
!def(WIN32),True
!def(OSSECHIDS),def(OSSECHIDS)
!def(SOLARIS),True
!def(SOLARIS),def(OSSECHIDS)
!def(BF_DEFAULT_OPTIONS),True
True,!def(OSSECHIDS)
def(__OpenBSD__),True
def(SOLARIS),def(OSSECHIDS)
!def(OSSECHIDS),True
def(DEBUG),True
def(WIN32),True
!def(OSSECHIDS),!def(WIN32)
def(OSSECHIDS),True
def(BF_PTR2),!def(BF_PTR2)
True,!def(WIN32)
True,def(WIN32)
True,def(OSSECHIDS)
True,def(AIX)
def(OSSECHIDS),!def(WIN32)
True,def(DEBUG)
