!def(WIN32),True
!def(LOCAL),!def(WIN32)
def(WIN32),!def(WIN32)
def(SOLARIS),def(OSSECHIDS)
!def(OSSECHIDS),def(OSSECHIDS)
!def(BF_DEFAULT_OPTIONS),True
!def(BF_PTR2),def(BF_PTR2)
True,def(AIX)
True,def(OSSECHIDS)
!def(SOLARIS),True
True,!def(OSSECHIDS)
def(__OpenBSD__),True
def(OSSECHIDS),True
!def(LOCAL),True
def(WIN32),True
def(DEBUG),True
!def(OSSECHIDS),True
True,!def(BF_DEFAULT_OPTIONS)
!def(SOLARIS),def(OSSECHIDS)
def(BF_PTR2),!def(BF_PTR2)
True,(!def(ASM_MD5)&!def(HIGHFIRST))
!def(OSSECHIDS),!def(WIN32)
True,def(WIN32)
True,def(DEBUG)
True,!def(WIN32)
def(OSSECHIDS),!def(WIN32)
