def(BF_PTR2),!def(BF_PTR2)
!def(BF_DEFAULT_OPTIONS),True
!def(BF_PTR2),def(BF_PTR2)
def(DEBUG),True
True,!def(BF_DEFAULT_OPTIONS)
!def(OSSECHIDS),def(OSSECHIDS)
True,def(WIN32)
def(OSSECHIDS),def(WIN32)
!def(LOCAL),True
def(__OpenBSD__),True
!def(OSSECHIDS),True
!def(WIN32),True
!def(SOLARIS),def(OSSECHIDS)
True,def(OSSECHIDS)
!def(LOCAL),def(WIN32)
True,def(AIX)
True,!def(WIN32)
def(WIN32),True
def(OSSECHIDS),True
True,(!def(ASM_MD5)&!def(HIGHFIRST))
True,!def(OSSECHIDS)
def(SOLARIS),def(OSSECHIDS)
!def(OSSECHIDS),!def(WIN32)
