!def(BF_PTR2),def(BF_PTR2)
!def(SOLARIS),def(OSSECHIDS)
def(__OpenBSD__),True
True,def(AIX)
True,def(OSSECHIDS)
!def(OSSECHIDS),def(OSSECHIDS)
def(BF_PTR2),!def(BF_PTR2)
def(WIN32),True
def(OSSECHIDS),True
True,def(DEBUG)
!def(OSSECHIDS),True
True,!def(OSSECHIDS)
True,!def(WIN32)
!def(SOLARIS),True
!def(BF_DEFAULT_OPTIONS),True
!def(LOCAL),!def(WIN32)
def(WIN32),!def(WIN32)
def(DEBUG),True
def(OSSECHIDS),!def(WIN32)
def(SOLARIS),def(OSSECHIDS)
!def(LOCAL),True
True,!def(BF_DEFAULT_OPTIONS)
!def(WIN32),!def(OSSECHIDS)
!def(WIN32),True
True,def(WIN32)
True,(!def(ASM_MD5)&!def(HIGHFIRST))
!def(OSSECHIDS),!def(WIN32)
